No,자료시점,분류,분류,분류,분류,발생,발생,검거(건),검거(건),검거(계)(명),검거(계)(명),검거(계)(명),검거(계)(명),법인
No,자료시점,분류,분류,분류,분류,발생건수,발생비,검거건수,검거율,검거(계)(명),남,여,미상,법인
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
185,2017년,형법범,재산범죄,절도,불법사용,548,1.07,450,82.11678832,674,645,29,0,0
186,2017년,형법범,재산범죄,절도,절도,"176,994",344.60,"107,802",60.90714939,"102,668","77,177","25,024",467,12
187,2017년,형법범,재산범죄,절도,침입절도,"6,813",13.26,"6,011",88.22838691,"3,314","3,095",216,3,0
188,2017년,형법범,재산범죄,사기,사기의 소계[입력치],"241,642",470.47,"190,260",78.7363124,"223,122","170,981","48,496","3,645",873
189,2017년,형법범,재산범죄,사기,보험사기방지특별법,"1,234",2.40,"1,198",97.08265802,"2,627","1,839",786,2,0
190,2017년,형법범,재산범죄,사기,부당이득,59,0.11,34,57.62711864,74,50,19,5,1
191,2017년,형법범,재산범죄,사기,사기,"233,203",454.04,"185,556",79.56844466,"216,280","165,912","46,783","3,585",842
192,2017년,형법범,재산범죄,사기,전기통신금융사기피해금환급에관한특별법,"2,348",4.57,"1,239",52.76831346,"1,385",992,380,13,2
193,2017년,형법범,재산범죄,사기,컴퓨터등사용사기,"4,085",7.95,"1,703",41.68910649,"2,089","1,651",412,26,6
194,2017년,형법범,재산범죄,사기,편의시설부정이용,713,1.39,530,74.33380084,667,537,116,14,22
195,2017년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],강력범죄(흉악)의 계[입력치],"36,030",70.15,"34,651",96.17263392,"36,583","35,071","1,333",179,4
196,2017년,형법범,강력범죄(흉악),살인,살인의 소계[입력치],858,1.67,847,98.71794872,986,788,141,57,0
197,2017년,형법범,강력범죄(흉악),살인,살인(기수),287,0.56,286,99.65156794,335,263,63,9,0
198,2017년,형법범,강력범죄(흉악),살인,"살인(미수, 예비, 음모, 방조)",571,1.11,561,98.24868651,651,525,78,48,0
199,2017년,형법범,강력범죄(흉악),강도,강도의 소계[입력치],990,1.93,993,100.3030303,"1,497","1,333",145,19,0
200,2017년,형법범,강력범죄(흉악),강도,강도,623,1.21,627,100.6420546,848,761,81,6,0
201,2017년,형법범,강력범죄(흉악),강도,강도강간/강제추행,19,0.04,21,110.5263158,21,19,0,2,0
202,2017년,형법범,강력범죄(흉악),강도,강도살인,26,0.05,26,100,31,27,4,0,0
203,2017년,형법범,강력범죄(흉악),강도,강도상해,303,0.59,302,99.669967,571,501,59,11,0
204,2017년,형법범,강력범죄(흉악),강도,강도치사,0,0.00,0,0,0,0,0,0,0
