통계년도,범죄종류,발생건수,발생비,검거건수,검거율(%),남자,여자,미상
2018년,성적목적의 장소침입,646,1.25,588,91.022,599,7,1
2018년,카메라등 이용촬영,6085,11.79,5764,94.725,5203,188,23
2018년,통신매체 이용음란,1378,2.67,1230,89.26,1319,80,9
2018년,특수강도강간등,43,0.08,45,104.651,44,0,1
2018년,폭행,162787,315.44,154495,94.906,179021,38671,1445
2018년,폭행치사,67,0.13,67,100.0,67,19,0
2018년,폭행치상,1646,3.19,1607,97.631,1782,359,5
2018년,국외이송,1,0.0,1,100.0,0,0,0
2018년,부녀매매,0,0.0,0,0.0,0,0,0
2018년,수수/은닉,0,0.0,0,0.0,0,0,0
2018년,약취/유인,191,0.37,170,89.005,173,85,5
2018년,"약취와유인상해,치상,살인,치사",2,0.0,1,50.0,1,0,0
2018년,인신매매,5,0.01,2,40.0,4,0,0
2018년,감금,1345,2.61,1255,93.309,1748,419,75
2018년,감금치사,2,0.0,1,50.0,6,0,1
2018년,감금치상,88,0.17,83,94.318,106,35,2
2018년,체포,51,0.1,41,80.392,62,20,8
2018년,체포치사,0,0.0,0,0.0,0,0,0
2018년,체포치상,8,0.02,7,87.5,7,2,4
2018년,"폭력행위등(단체등의구성,활동)",164,0.32,162,98.78,934,33,3
2018년,"폭력행위등(손괴,강요,주거침입등)",769,1.49,711,92.458,2063,657,106
2019년,불법사용,661,1.28,510,77.156,726,63,3
2019년,절도,180501,349.07,108011,59.84,71852,26173,643
2019년,침입절도,6467,12.51,5682,87.861,2805,196,3
2019년,부당이득,76,0.15,51,67.105,58,20,7
2019년,사기,305095,590.02,224228,73.494,186569,56116,4265
2019년,전기통신금융사기피해금환급에관한특별법,990,1.91,558,56.364,516,202,5
2019년,컴퓨터등사용사기,3002,5.81,1693,56.396,1688,365,103
2019년,편의시설부정이용,1225,2.37,969,79.102,975,186,19
2019년,살인(기수),323,0.62,315,97.523,289,84,93
2019년,"살인(미수, 예비, 음모, 방조)",524,1.01,508,96.947,470,71,43
2019년,강도,566,1.09,563,99.47,706,87,65
2019년,강도강간/강제추행,10,0.02,11,110.0,11,0,1
2019년,강도살인,22,0.04,22,100.0,25,1,0
2019년,강도상해,228,0.44,228,100.0,447,76,40
2019년,강도치사,0,0.0,0,0.0,0,0,0
2019년,강도치상,19,0.04,19,100.0,32,4,0
2019년,방화치사,13,0.03,12,92.308,14,3,0
2019년,방화치상,32,0.06,32,100.0,23,9,0
2019년,간음,251,0.49,252,100.398,312,2,1
2019년,강간,5594,10.82,5458,97.569,6342,115,33
2019년,"강간등(강간,준강간,간음,강제추행,준강제추행)",157,0.3,158,100.637,284,9,0
2019년,강간등살인,2,0.0,2,100.0,2,0,0
2019년,강간등상해,200,0.39,199,99.5,205,1,0
2019년,강간등치사,0,0.0,0,0.0,1,0,0
2019년,강간등치상,453,0.88,442,97.572,494,19,3
2019년,강제추행,15766,30.49,15191,96.353,15989,638,53
2019년,공중밀집장소 추행,1532,2.96,1353,88.316,1376,14,3
2019년,성적목적의 장소침입,685,1.32,646,94.307,709,10,0
2019년,카메라등 이용촬영,5893,11.4,5569,94.502,5185,269,36
2019년,통신매체 이용음란,1454,2.81,1238,85.144,1311,76,12
2019년,특수강도강간등,42,0.08,42,100.0,46,1,0
2019년,폭행,160181,309.77,152107,94.959,173545,40320,1241
