room_sigudong,room_number,longitude,latitude,security_score,security_fac,room_area,room_contract,building_type,room_price,URL
서울특별시 강서구 화곡동,11781500,126.8383601781,37.539185923271,15,현관보안 / CCTV / 인터폰 / 비디오폰,24.29,전세,제2종 근린생활시설,1억2000,https://www.peterpanz.com/house/11781500
서울특별시 관악구 신림동,11781497,126.94071621368,37.474951180906,14,현관보안 / CCTV / 인터폰,7,월세,단독주택,3000/67,https://www.peterpanz.com/house/11781497
서울특별시 동작구 신대방동,11781496,126.90934886633,37.488440711492,22,현관보안 / CCTV / 비디오폰 / 자체경비원,22.93,전세,공동주택,1억,https://www.peterpanz.com/house/11781496
서울특별시 강서구 화곡동,11781494,126.8593867758,37.536716058802,2,-,29.82,전세,공동주택,3억2000,https://www.peterpanz.com/house/11781494
서울특별시 강서구 화곡동,11781492,126.846598508008,37.5387305957788,17,현관보안 / CCTV / 인터폰 / 비디오폰,47.46,전세,공동주택,1억7000,https://www.peterpanz.com/house/11781492
서울특별시 은평구 신사동,11781490,126.910502797585,37.5965481464528,15,현관보안 / CCTV / 인터폰,29.18,전세,공동주택,2억8900,https://www.peterpanz.com/house/11781490
서울특별시 강서구 화곡동,11781485,126.84985991629,37.543189077458,17,현관보안 / CCTV / 인터폰 / 비디오폰,14.13,전세,공동주택,1억5500,https://www.peterpanz.com/house/11781485
서울특별시 강서구 화곡동,11781470,126.85869883624,37.538009627428,15,현관보안 / CCTV / 인터폰 / 비디오폰,33.94,전세,제2종 근린생활시설,1억7000,https://www.peterpanz.com/house/11781470
서울특별시 구로구 개봉동,11781464,126.843719579807,37.5042325011985,17,현관보안 / CCTV / 인터폰 / 비디오폰,29.58,전세,공동주택,1억9000,https://www.peterpanz.com/house/11781464
서울특별시 금천구 가산동,11781460,126.887806221951,37.4721480782513,17,현관보안 / CCTV / 인터폰 / 비디오폰,26.1,월세,공동주택,6000/55,https://www.peterpanz.com/house/11781460
서울특별시 영등포구 신길동,11781457,126.916412068231,37.5124836426559,14,현관보안 / CCTV / 인터폰,19.46,월세,단독주택,1000/65,https://www.peterpanz.com/house/11781457
서울특별시 동작구 신대방동,11781455,126.90673950019,37.48704837877,16,현관보안 / CCTV / 방범창,21,전세,단독주택,9000,https://www.peterpanz.com/house/11781455
경기도 부천시 원미동,11784350,126.79455127729,37.495027150382,14,현관보안 / 인터폰 / 방범창,43.98,전세,공동주택,1억6800,https://www.peterpanz.com/house/11784350
경기도 부천시 고강동,11784348,126.82116808276,37.529705087399,13,현관보안 / CCTV,34.05,전세,공동주택,1억8300,https://www.peterpanz.com/house/11784348
서울특별시 강서구 화곡동,11784347,126.8599867758,37.537316058802,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,29.82,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784347
서울특별시 구로구 개봉동,11784346,126.85380738466,37.493347379187,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,41.28,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784346
서울특별시 구로구 오류동,11784345,126.84676216051,37.496240163453,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,27.83,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784345
서울특별시 서초구 방배동,11784344,126.991708497979,37.4917915962123,8,현관보안,16.53,월세,공동주택,1000/45,https://www.peterpanz.com/house/11784344
서울특별시 구로구 온수동,11781190,126.817841050615,37.4966159065756,4,인터폰,59.88,전세,공동주택,2억2000,https://www.peterpanz.com/house/11781190
서울특별시 강서구 화곡동,11784343,126.83390615799,37.540641131781,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,28.32,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784343
서울특별시 양천구 신정동,11784342,126.85454512085,37.525203172226,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,28.11,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784342
서울특별시 광진구 군자동,11781176,127.072035968655,37.5490968603203,12,현관보안 / CCTV,29.75,월세,단독주택,1000/75,https://www.peterpanz.com/house/11781176
서울특별시 양천구 신정동,11784338,126.85082347763,37.522269795939,22,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키 / 방범창,43.18,전세,공동주택,1억3000,https://www.peterpanz.com/house/11784338
서울특별시 관악구 봉천동,11781167,126.95886285967,37.483292159409,18,현관보안 / CCTV / 인터폰 / 비디오폰 / 카드키,26.99,전세,공동주택,2억1000,https://www.peterpanz.com/house/11781167
